movieId,title,genres,director_name,imdb_score,duration,budget,language,country,content_rating,num_voted_users,plot_keywords
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,8.3,74.0,30000000.0,English,USA,G,623757,claw crane|cowboy|jealousy|rivalry|toy
10,GoldenEye (1995),Action|Adventure|Thriller,Martin Campbell,7.2,130.0,58000000.0,English,UK,PG-13,199025,agent|cossack|official james bond series|russia|russian
11,"American President, The (1995)",Comedy|Drama|Romance,Rob Reiner,6.8,114.0,62000000.0,English,USA,PG-13,43027,lobbyist|president|senator|state dinner|widower
14,Nixon (1995),Drama,Oliver Stone,7.1,212.0,50000000.0,English,USA,R,23996,courtship|election|paranoia|president|quaker
15,Cutthroat Island (1995),Action|Adventure|Romance,Renny Harlin,5.6,124.0,98000000.0,English,USA,PG-13,21102,latin|pirate|pirate ship|treasure|treasure map
16,Casino (1995),Crime|Drama,Martin Scorsese,8.2,178.0,52000000.0,English,USA,R,333542,car bomb|card cheat|cash|casino|gambling syndicate
17,Sense and Sensibility (1995),Drama|Romance,Ang Lee,7.7,136.0,16500000.0,English,USA,PG,78392,1810s|female protagonist|horseback riding|inheritance|three word title
18,Four Rooms (1995),Comedy,Allison Anders,6.7,110.0,4000000.0,English,USA,R,78241,bellhop|coven|gangster|hotel|new year's eve
19,Ace Ventura: When Nature Calls (1995),Comedy,Steve Oedekerk,6.3,90.0,30000000.0,English,USA,PG-13,160321,africa|bat|hawaiian shirt|pregnancy|pregnant
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,5.6,105.0,68000000.0,English,USA,R,32224,bare breasts|breast|loan shark|subway|train
21,Get Shorty (1995),Comedy|Crime|Thriller,Barry Sonnenfeld,6.9,105.0,30250000.0,English,USA,R,62986,debt|loan shark|mobster|movie business|producer
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,6.6,123.0,20000000.0,English,USA,R,42315,agoraphobia|copycat murder|detective|psychologist|serial killer
23,Assassins (1995),Action|Crime|Thriller,Richard Donner,6.3,132.0,50000000.0,English,France,R,62981,assassin|floppy disk|modem|rival|russian
25,Leaving Las Vegas (1995),Drama|Romance,Mike Figgis,7.6,111.0,3600000.0,English,USA,R,93894,alcoholic|bar|love|prostitute|sex
34,Babe (1995),Children|Drama,Chris Noonan,6.8,91.0,30000000.0,English,Australia,G,94435,dog|farmer|pig|sheep|sheepdog
36,Dead Man Walking (1995),Crime|Drama,Tim Robbins,7.6,122.0,11000000.0,English,UK,R,73193,death|execution|nun|solitary confinement|visit
39,Clueless (1995),Comedy|Romance,Amy Heckerling,6.8,97.0,12000000.0,English,USA,PG-13,123390,female protagonist|high school|makeover|matchmaker|popularity
41,Richard III (1995),Drama|War,Richard Loncraine,7.5,104.0,6000000.0,English,UK,R,11612,1930s|abuse of power|england|king|murder
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Paul W.S. Anderson,5.8,101.0,18000000.0,English,USA,PG-13,81783,based on video game|island|mortal kombat|tournament|warrior
45,To Die For (1995),Comedy|Drama|Thriller,Gus Van Sant,6.8,106.0,20000000.0,English,USA,R,34774,career|fame|murder|new hampshire|television
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,David Fincher,8.6,127.0,33000000.0,English,USA,R,1023511,detective|police partner|serial killer|serial murder|seven deadly sins
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Mike Gabriel,6.6,84.0,55000000.0,English,USA,G,119675,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Bryan Singer,8.6,106.0,6000000.0,English,USA,R,740918,criminal|dirty cop|flashback|limping|suspect
57,Home for the Holidays (1995),Drama,Jodie Foster,6.6,103.0,20000000.0,English,USA,PG-13,9105,dinner|gay interest|gay sibling|homosexual|thanksgiving
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Frank Oz,5.9,96.0,45000000.0,English,USA,PG,20688,best friend|birthday|boy|friend|magic
61,Eye for an Eye (1996),Drama|Thriller,John Schlesinger,6.1,101.0,20000000.0,English,USA,R,9845,justice|rape|self defense|support group|vigilante
62,Mr. Holland's Opus (1995),Drama,Stephen Herek,7.3,143.0,6500000.0,English,USA,PG,30230,1990s|high school|high school teacher|teacher inspires students|teaching
69,Friday (1995),Comedy,F. Gary Gray,7.3,97.0,3500000.0,English,USA,R,74626,bully|drug dealer|first part|neighbor|neighborhood
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Robert Rodriguez,7.3,108.0,19000000.0,English,USA,R,219091,brother|human versus vampire|rapist|stripper|vampire
79,"Juror, The (1996)",Drama|Thriller,Brian Gibson,5.6,118.0,44000000.0,English,USA,R,13995,breasts|mafia|sex scene|temple|woods
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Gary Fleder,6.8,115.0,7000000.0,English,USA,R,22345,death|finger gun|video message|what happened to epilogue|wheelchair
86,White Squall (1996),Action|Adventure|Drama,Ridley Scott,6.6,129.0,38000000.0,English,USA,PG-13,17859,acrophobia|jamaica|male bonding|prostitute|tragedy
92,Mary Reilly (1996),Drama|Horror|Thriller,Stephen Frears,5.8,108.0,47000000.0,English,USA,R,11913,19th century|butler|housemaid|laboratory|servant
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Wes Craven,4.5,100.0,20000000.0,English,USA,R,17262,blood|destiny|nightmare|partner|vampire
95,Broken Arrow (1996),Action|Adventure|Thriller,John Woo,6.0,108.0,50000000.0,English,USA,R,77390,captain|desert|major|park ranger|utah
100,City Hall (1996),Drama|Thriller,Harold Becker,6.2,111.0,40000000.0,English,USA,R,16741,drug dealer|mayor|new york city|probation|scandal
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Wes Anderson,7.1,91.0,7000000.0,English,USA,R,54478,caper|escapade|motel|robbery|texas
104,Happy Gilmore (1996),Comedy,Dennis Dugan,7.0,92.0,12000000.0,English,USA,PG-13,156143,golf|golf ball|golfer|grandmother's house|tournament
105,"Bridges of Madison County, The (1995)",Drama|Romance,Clint Eastwood,7.5,135.0,35000000.0,English,USA,PG-13,54631,1960s|bridge|housewife|love|photographer
